size,type,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
20000,AnnSql In-Memory,0.006678342819213867,Filter2,-5.008885403166762,-2.1753312910810694,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.001573324203491211,Filter2,-6.454564570935375,-2.803181776245464,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.11409139633178711,Filter2,-2.1707554295865648,-0.9427471046309679,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.5878143310546875,Filter2,-0.5313441444597413,-0.23075982993046995,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.0063931941986083984,Filter3,-5.052521260901771,-2.1942821033084994,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0016744136810302734,Filter3,-6.392292216159777,-2.7761372361912997,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.11317873001098633,Filter3,-2.1787870282974375,-0.9462351836319612,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.41143298149108887,Filter3,-0.8881091360629536,-0.38570089712000505,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.006604909896850586,Filter4,-5.019941982758643,-2.1801331025865474,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.002185344696044922,Filter4,-6.125981707249728,-2.6604800516988183,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.11220693588256836,Filter4,-2.1874104706689512,-0.9499802970689204,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.5464668273925781,Filter4,-0.6042816733129418,-0.26243619623507414,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.006869792938232422,Filter5,-4.980621313197378,-2.163056352771349,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0019643306732177734,Filter5,-6.232603716003207,-2.7067854017498947,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.11566805839538574,Filter5,-2.15703075553901,-0.9367865544261942,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.5561428070068359,Filter5,-0.5867301705765359,-0.2548136754475432,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.011144638061523438,Filter6,-4.496796788084524,-1.9529340313053751,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.001544952392578125,Filter6,-6.472762182972477,-2.811084898736993,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.13193106651306152,Filter6,-2.025475716187788,-0.8796529267693933,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.15658354759216309,Filter6,-1.8541655610202177,-0.8052538716861276,9.903487552536127,4.301029995663981
25000,AnnSql In-Memory,0.007065534591674805,Filter1,-4.952526598096858,-2.1508549730325495,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.001567840576171875,Filter1,-6.458056035582781,-2.8046981000755924,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.01719975471496582,Filter1,-4.062860156022216,-1.7644777465050334,10.126631103850338,4.3979400086720375
25000,AnnData Backed,1.0078978538513184,Filter1,0.007866829049429806,0.0034165204462435687,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.007765054702758789,Filter2,-4.85812177762088,-2.1098554804347653,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0022749900817871094,Filter2,-6.085779586242745,-2.643020492384679,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.13335061073303223,Filter2,-2.0147734484393505,-0.8750049909423958,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.9229395389556885,Filter2,-0.08019155154824052,-0.03482674833266103,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.007097482681274414,Filter3,-4.9480151097364455,-2.1488956585324512,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0019369125366210938,Filter3,-6.246660049618521,-2.7128899898748173,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1225736141204834,Filter3,-2.0990434978886605,-0.9116030084079454,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.5242269039154053,Filter3,-0.6458306656490619,-0.2804806943352916,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.006535053253173828,Filter4,-5.030574783021965,-2.184750869068088,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0026900768280029297,Filter4,-5.918185525180351,-2.5702353164655247,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1187131404876709,Filter4,-2.1310452801434603,-0.9255012058522742,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.723168134689331,Filter4,-0.32411353242174085,-0.14076071864093276,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.0071506500244140625,Filter5,-4.940552013903049,-2.145654477194092,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.002450227737426758,Filter5,-6.011574304693724,-2.610793548079862,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1283426284790039,Filter5,-2.053051806278843,-0.8916290705284056,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.6817336082458496,Filter5,-0.38311630118927714,-0.1663852955336873,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.01083827018737793,Filter6,-4.524671872514525,-1.9650400266559118,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0017893314361572266,Filter6,-6.325913228251235,-2.7473092080282973,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.13995122909545898,Filter6,-1.9664612806693933,-0.8540232830711192,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.25269412994384766,Filter6,-1.3755754942054488,-0.597404846574765,10.126631103850338,4.3979400086720375
30000,AnnSql In-Memory,0.005559206008911133,Filter1,-5.192299985069804,-2.2549872319021524,10.308952660644293,4.477121254719663
