size,method,memory,filter_type,gene_id,memory_log,memory_log10,size_log,size_log10
40000,Seurat,4583.43,Filter5,5874,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,5874,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,5013.08,Filter1,6744,8.51980577564405,3.70010463524966,10.5966347330961,4.60205999132796
40000,Seurat,5013.5,Filter2,6744,8.51988955296398,3.70014101927742,10.5966347330961,4.60205999132796
40000,Seurat,4614.58,Filter3,6744,8.43697613521155,3.6641321794718,10.5966347330961,4.60205999132796
40000,Seurat,4615,Filter4,6744,8.43706714693695,3.66417170536193,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,6744,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,6744,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4600.7,Filter1,3468,8.43396374481295,3.66282391494435,10.5966347330961,4.60205999132796
40000,Seurat,4601.7,Filter2,3468,8.43418107942217,3.66291830216586,10.5966347330961,4.60205999132796
40000,Seurat,4598.43,Filter3,3468,8.43347021987178,3.66260957978572,10.5966347330961,4.60205999132796
40000,Seurat,4599.42,Filter4,3468,8.43368548757104,3.66270306935964,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,3468,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,3468,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,5205.61,Filter1,705,8.55749216918707,3.71647162800824,10.5966347330961,4.60205999132796
40000,Seurat,5206.26,Filter2,705,8.55761702668162,3.71652585292914,10.5966347330961,4.60205999132796
40000,Seurat,4617.69,Filter3,705,8.4376498590341,3.66442477401026,10.5966347330961,4.60205999132796
40000,Seurat,4617.53,Filter4,705,8.43761520907449,3.664409725724,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,705,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,705,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4794.74,Filter1,2599,8.4752747626983,3.68076506205376,10.5966347330961,4.60205999132796
40000,Seurat,4795.5,Filter2,2599,8.47543325716801,3.68083389532737,10.5966347330961,4.60205999132796
40000,Seurat,4608.8,Filter3,2599,8.43572279841817,3.66358786221847,10.5966347330961,4.60205999132796
40000,Seurat,4609.21,Filter4,2599,8.4358117547114,3.66362649544575,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,2599,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,2599,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,5337.86,Filter1,2222,8.5825801025692,3.72736717903845,10.5966347330961,4.60205999132796
40000,Seurat,5338.16,Filter2,2222,8.58263630328821,3.7273915867006,10.5966347330961,4.60205999132796
40000,Seurat,4619.3,Filter3,2222,8.43799845744469,3.66457616837638,10.5966347330961,4.60205999132796
40000,Seurat,4619.26,Filter4,2222,8.43798979808652,3.66457240766491,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,2222,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,2222,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4717.11,Filter1,7768,8.45895160291908,3.67367600383442,10.5966347330961,4.60205999132796
40000,Seurat,4717.98,Filter2,7768,8.45913602087428,3.67375609553473,10.5966347330961,4.60205999132796
40000,Seurat,4604.3,Filter3,7768,8.43474592844871,3.66316361298119,10.5966347330961,4.60205999132796
40000,Seurat,4605.3,Filter4,7768,8.43496309314727,3.66325792641144,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,7768,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,7768,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4974.13,Filter1,2897,8.51200575992853,3.69671713146566,10.5966347330961,4.60205999132796
40000,Seurat,4975.01,Filter2,2897,8.51218265964092,3.6967939580346,10.5966347330961,4.60205999132796
40000,Seurat,4609.49,Filter3,2897,8.4358725008036,3.66365287713839,10.5966347330961,4.60205999132796
40000,Seurat,4610.02,Filter4,2897,8.43598747437608,3.66370280952648,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,2897,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
