size,type,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
10000,AnnSql On-Disk,0.13669705390930176,Filter5,-1.9899880869892124,-0.8642408452326231,9.210340371976184,4.0
10000,AnnData Backed,0.40119385719299316,Filter5,-0.9133105340958367,-0.39664572522193364,9.210340371976184,4.0
10000,AnnSql In-Memory,0.0076904296875,Filter6,-4.867778620887757,-2.1140493941781737,9.210340371976184,4.0
10000,AnnData Not-Backed,0.001825571060180664,Filter6,-6.305862431205673,-2.738601257513648,9.210340371976184,4.0
10000,AnnSql On-Disk,0.13777422904968262,Filter6,-1.9821389549484534,-0.8608320104995916,9.210340371976184,4.0
10000,AnnData Backed,0.09733152389526367,Filter6,-2.3296323556719174,-1.0117464769315874,9.210340371976184,4.0
15000,AnnSql In-Memory,0.004358530044555664,Filter1,-5.435620424211711,-2.360659955955759,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.002541780471801758,Filter1,-5.974890470368321,-2.594861961257287,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.014843225479125977,Filter1,-4.210211714514651,-1.8284717152581418,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.5684969425201416,Filter1,-0.5647593439587939,-0.2452718666846048,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.004736185073852539,Filter2,-5.352523304070098,-2.3245713352162047,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0032677650451660156,Filter2,-5.723649000173028,-2.4857491771262104,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.13317131996154785,Filter2,-2.016118859663576,-0.8755892956129676,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.43677568435668945,Filter2,-0.8283355237825164,-0.35974154714318674,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.005139350891113281,Filter3,-5.27082849326541,-2.2890917296835984,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0032744407653808594,Filter3,-5.7216081831381755,-2.4848628615494,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.13428926467895508,Filter3,-2.007759114024306,-0.8719587042117178,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.45174527168273926,Filter3,-0.7946368162325569,-0.34510638440696784,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.005061149597167969,Filter4,-5.286161628371011,-2.2957508256502384,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.003571033477783203,Filter4,-5.634900235509485,-2.4472060783571035,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.13857746124267578,Filter4,-1.976325822746672,-0.8583073992617838,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.5682072639465332,Filter4,-0.5652690255069598,-0.24549321856850115,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.005163431167602539,Filter5,-5.266153965511526,-2.287061608074583,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.003322124481201172,Filter5,-5.707150796728732,-2.4785840984090357,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.13604235649108887,Filter5,-1.9947889969475272,-0.8663258539356338,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.5592076778411865,Filter5,-0.5812343581117525,-0.2524268744205127,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.007681846618652344,Filter6,-4.868895315587832,-2.114534368524387,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0019061565399169922,Filter6,-6.262666347050742,-2.719841436525333,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.1381394863128662,Filter6,-1.979491333926268,-0.8596821632994855,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.13711786270141602,Filter6,-1.986914411320833,-0.8629059648506858,9.615805480084347,4.176091259055681
20000,AnnSql In-Memory,0.009233474731445312,Filter1,-4.6849198406992665,-2.034634834974753,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.003192424774169922,Filter1,-5.746974533633579,-2.4958793275955773,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.02027130126953125,Filter1,-3.8985491237592567,-1.6931183718774028,9.903487552536127,4.301029995663981
20000,AnnData Backed,1.0027992725372314,Filter1,0.0027953618701779624,0.0012140102351410433,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.005532979965209961,Filter2,-5.197028736036038,-2.257040902353083,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.003465414047241211,Filter2,-5.664923159325821,-2.4602448685011398,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.14740395545959473,Filter2,-1.9145784647186,-0.8314908623980877,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.6512372493743896,Filter2,-0.4288812648019804,-0.18626076669518743,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.004978656768798828,Filter3,-5.3025951494687416,-2.302887813181223,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.003739595413208008,Filter3,-5.588777851694018,-2.4271753815738224,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.1371161937713623,Filter3,-1.9869265828948177,-0.8629112508981034,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.609567403793335,Filter3,-0.4950057475069768,-0.21497826465267436,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.005198955535888672,Filter4,-5.25929753205247,-2.284083896857778,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.004360675811767578,Filter4,-5.435128230933885,-2.3604461991311694,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.13929080963134766,Filter4,-1.9711913757400572,-0.8560775372591864,9.903487552536127,4.301029995663981
