size,method,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
20000,AnnSql In-Memory,0.004933357238769531,Filter3,-5.311735541195391,-2.3068574348705413,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0035991668701171875,Filter3,-5.627052885270411,-2.4437980174507112,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.13584089279174805,Filter3,-1.9962709840632828,-0.8669694727622581,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.5361635684967041,Filter3,-0.623315999358944,-0.2707026990036002,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.004747629165649414,Filter4,-5.350109908560122,-2.323523210863572,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.003979206085205078,Filter4,-5.526672955662916,-2.4002035679283393,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.13712358474731445,Filter4,-1.9868726813347022,-0.8628878417479793,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.6480517387390137,Filter4,-0.43378474208415774,-0.188390319820975,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.005048513412475586,Filter5,-5.288661452798542,-2.2968364856048415,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.003787994384765625,Filter5,-5.575918586033843,-2.42159067345628,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.1399214267730713,Filter5,-1.9666742512606634,-0.8541157750237156,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.6265716552734375,Filter5,-0.46749213724617056,-0.20302925553916953,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.007864236831665039,Filter6,-4.845429780661825,-2.1043434161911145,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.001867055892944336,Filter6,-6.283392477567859,-2.728842680640123,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.1480870246887207,Filter6,-1.9099551733715023,-0.8294829924778122,9.903487552536127,4.301029995663981
