size,method,runtime,filter_type,runtime_log,runtime_log10,size_log,size_log10
30000,AnnData Not-Backed,0.0057990550994873,Filter2,-5.150060288583171,-2.23664276480074,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.0242328643798828,Filter2,-3.720045534884697,-1.6155952482292548,10.308952660644293,4.477121254719663
30000,AnnData Backed,1.706803798675537,Filter2,0.5346224979418027,0.23218360075745753,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.0130565166473388,Filter3,-4.338467909902789,-1.8841726731851158,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0084052085876464,Filter3,-4.778903695338908,-2.075451504432747,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.1476228237152099,Filter3,-1.9130947465532246,-0.8308464917861655,10.308952660644293,4.477121254719663
30000,AnnData Backed,1.0850350856781006,Filter3,0.08161232350009982,0.03544378175139644,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.020838975906372,Filter4,-3.870930204073516,-1.6811236274617565,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0207610130310058,Filter4,-3.874678424620382,-1.6827514589622168,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.1985926628112793,Filter4,-1.6164994726090236,-0.7020368009536158,10.308952660644293,4.477121254719663
30000,AnnData Backed,1.0976107120513916,Filter4,0.09313573746390036,0.04044833684856189,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.0104939937591552,Filter5,-4.556952208423797,-1.9790591984152923,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0068466663360595,Filter5,-4.983993411437154,-2.164520836429319,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.1537215709686279,Filter5,-1.8726122936614986,-0.8132651858813806,10.308952660644293,4.477121254719663
30000,AnnData Backed,0.9467606544494628,Filter5,-0.05470895855406206,-0.02375979881070286,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.0176758766174316,Filter6,-4.035554471969302,-1.752619038596259,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0042183399200439,Filter6,-5.4683136122058045,-2.3748584270974193,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.1577260494232177,Filter6,-1.8468956152478408,-0.8020965743534486,10.308952660644293,4.477121254719663
30000,AnnData Backed,0.2719449996948242,Filter6,-1.3021554401370552,-0.5655189222318232,10.308952660644293,4.477121254719663
35000,AnnSql In-Memory,0.004547119140625,Filter2,-5.393261402453721,-2.342263666547444,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.0049481391906738,Filter2,-5.308743694153579,-2.3055580922095835,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.0121607780456542,Filter2,-4.409539420473391,-1.9150386380464566,10.46310334047155,4.544068044350276
35000,AnnData Backed,1.6108932495117188,Filter2,0.4767888385056582,0.20706676159606802,10.46310334047155,4.544068044350276
35000,AnnSql In-Memory,0.0079259872436523,Filter3,-4.837608393645885,-2.100946630969262,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.0144612789154052,Filter3,-4.2362806211137825,-1.839793297543396,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.1445879936218261,Filter3,-1.9338670043657458,-0.8398677687308151,10.46310334047155,4.544068044350276
35000,AnnData Backed,1.0992119312286377,Filter3,0.0945934968926842,0.041081433724425145,10.46310334047155,4.544068044350276
35000,AnnSql In-Memory,0.0059025287628173,Filter4,-5.132374416027525,-2.228961887942179,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.0077021121978759,Filter4,-4.866260676326541,-2.113390159231403,10.46310334047155,4.544068044350276
35000,AnnSql On-Disk,0.1384520530700683,Filter4,-1.9772312005110961,-0.8587005998289111,10.46310334047155,4.544068044350276
35000,AnnData Backed,1.2500813007354736,Filter4,0.2232085897875413,0.09693825885813571,10.46310334047155,4.544068044350276
35000,AnnSql In-Memory,0.0058190822601318,Filter5,-5.146612716935311,-2.2351455034581083,10.46310334047155,4.544068044350276
35000,AnnData Not-Backed,0.0076470375061035,Filter5,-4.873436960250045,-2.1165067797399515,10.46310334047155,4.544068044350276
